,country,CODE,#NURSING BEDS/100k,ICU and IMCU beds/100k population,GDP ($million)/ICU beds,Total Cases,New Cases,"Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious
Critical","Tot Cases/
1M pop",Deaths/1M pop,"Total
Tests","Tests/
1M pop",Population,Time,PopMale,PopFemale,PopTotal,PopDensity,lockdown start date,first case date,first death date,new cases,new deaths,cumulative cases,cumulative deaths,% over 65,80+percentage,population,heart dieases lost per 1000,heart diseas deaths,stroke per  1000,#strokes,Rheumatic heart disease Number of deaths,men smokers%,women smokers %,Diabete %,Cancer Age-standardised rate per 100k,hypertension,delta,number of days between first death and lockdown
0,Albania,ALB,7.77,,,989.0,,31.0,,783.0,175.0,5.0,344.0,11.0,13133.0,4563.0,2878112.0,2019.0,50.91389431058835,49.08610568941165,2880.913,105.14299999999999,2020-03-13 00:00:00,2020-03-09 00:00:00,2020-03-11 00:00:00,3.389309411764706,92.93267741935485,0.12245135376376079,2.6237823315118396,13.7447359109736,2.44807869374057,3141,13,3989,13,4169,42.0,46.2,22.8,4.5,,60.0,2.0,2.0
1,Andorra,AND,227.8,7.1,482.2,762.0,,51.0,,653.0,58.0,3.0,9864.0,660.0,3750.0,48542.0,77252.0,2019.0,50.0,50.0,77.146,164.14,,2020-03-02 00:00:00,2020-03-22 00:00:00,0.10355167785234899,1.5126666666666666,0.0035237747225140455,0.04032723470987977,,,69,3,67,3,52,3.0,49.6,35.9,8.8,,186.0,,
2,Armenia,ARM,36.26,,,6302.0,,77.0,,2936.0,3289.0,10.0,2127.0,26.0,49080.0,16566.0,2962680.0,2019.0,47.038436259182724,52.961563740817276,2957.728,103.889,2020-03-24 00:00:00,2020-03-01 00:00:00,2020-03-26 00:00:00,1.431620522749274,42.253257142857144,0.07673640514736406,1.9957678812415656,11.2538176570131,2.4595995967161204,3072,20,8515,10,4212,151.0,67.4,4.1,4.7,,95.0,-2.0,-2.0
3,Austria,AUT,779.04,21.8,205.9,16486.0,,639.0,,15037.0,810.0,28.0,1832.0,71.0,396363.0,44035.0,9001067.0,2019.0,49.23871381562344,50.761286184376566,8955.108,108.667,2020-03-16 00:00:00,2020-02-25 00:00:00,2020-03-12 00:00:00,0.5911742804330605,14.443722580645161,0.02183091786261924,0.4882296368989205,19.0015664595899,3.9200868080652405,8111,6,15418,4,7559,185.0,37.4,26.3,3.8,247.7,161.0,4.0,4.0
4,Azerbaijan,AZE,15.91,,,3982.0,,49.0,,2506.0,1427.0,42.0,393.0,5.0,265067.0,26168.0,10129535.0,2019.0,49.92012615002469,50.0798738499753,10047.719000000001,121.55799999999999,2020-03-31 00:00:00,2020-02-28 00:00:00,2020-03-13 00:00:00,5.8519039021549215,304.47633333333334,0.3141679382152461,13.015180051813473,6.195182750714929,0.9823398046280941,8297,28,22302,9,6540,184.0,32.0,1.7,6.8,,90.0,18.0,18.0
5,Belgium,BEL,1232.25,15.9,266.5,56810.0,,9237.0,,15155.0,32418.0,259.0,4904.0,797.0,768706.0,66357.0,11584427.0,2019.0,49.495776443095544,50.50422355690445,11539.326000000001,381.087,2020-03-18 00:00:00,2020-02-04 00:00:00,2020-03-11 00:00:00,0.6260824697520482,1.3331014325323476,0.08540247341193188,0.055234021166300495,18.7887437383395,4.2684741168814,10296,5,14985,4,9234,68.0,33.2,22.9,4.0,345.8,193.0,7.0,7.0
6,Bulgaria,BGR,43.85,12.2,52.2,2427.0,19.0,130.0,4.0,840.0,1457.0,29.0,349.0,19.0,74096.0,10656.0,6953511.0,2019.0,48.571388163940696,51.428611836059325,7000.116999999999,64.482,,2020-03-08 00:00:00,2020-03-11 00:00:00,3.827291962821213,76.92436263736263,0.17826971757455368,3.6900985767000525,21.021914434268,3.4783392959143797,7965,14,26243,13,20882,232.0,47.3,28.2,7.7,242.8,92.0,,
7,Belarus,BLR,203.03,,,35244.0,,194.0,,13528.0,21522.0,92.0,3730.0,21.0,434618.0,45993.0,9449636.0,2019.0,46.54805986495082,53.45194013504917,9452.409,46.583999999999996,,2020-02-28 00:00:00,2020-03-31 00:00:00,0.7742798984272607,51.0941027027027,0.08511159833962129,2.450715322789733,14.8451481743098,1.9850578004464001,9940,28,59719,14,22892,550.0,63.6,22.0,9.9,260.7,108.0,,
8,Switzerland,CHE,1165.08,11.0,609.6,30725.0,,1905.0,,28000.0,820.0,51.0,3553.0,220.0,367037.0,42442.0,8648002.0,2019.0,49.592387050200784,50.40761294979923,8591.360999999999,217.415,2020-03-17 00:00:00,2020-02-25 00:00:00,2020-03-05 00:00:00,0.29734065896033773,4.815785313901345,0.011491630095008285,0.195645048163414,18.6232165647717,3.9802980887717,7171,4,10746,2,4508,112.0,37.6,28.3,3.9,311.0,187.0,12.0,12.0
9,Czech Republic,CZE,692.31,11.6,156.5,,,,,,,,,,,,,,,,,,,2020-03-01 00:00:00,2020-03-22 00:00:00,,,,,19.4208768932343,2.83741960028193,10246,11,25899,7,15663,286.0,42.6,26.2,4.3,296.7,,,
10,Germany,DEU,1119.57,29.2,137.6,179986.0,,8366.0,,160300.0,11320.0,919.0,2149.0,100.0,3595059.0,42923.0,83756505.0,2019.0,49.390055055347624,50.609944944652376,83517.046,239.606,,2020-01-28 00:00:00,2020-03-09 00:00:00,1.447561244475258,11.120778428761652,0.25287199719021175,0.4964957880782104,21.4619619953309,5.07035282230536,82414,6,172717,4,79326,2241.0,39.0,30.9,4.1,313.1,174.0,,
