CODE;YEAR;VALUE
ALB;1985;18.6
ALB;1986;10.21
ALB;1987;10.21
ALB;1988;9.53
ALB;1989;13.01
ALB;1990;9.86
ALB;1991;8.96
ALB;1992;7.77
AND;1996;197.91
AND;2003;199.31
AND;2004;182.31
AND;2005;175.01
AND;2006;170.24
AND;2007;170.36
AND;2009;227.8
ARM;1980;20.95
ARM;1981;31.93
ARM;1982;26.5
ARM;1983;26.08
ARM;1984;30.95
ARM;1985;30.64
ARM;1986;39.18
ARM;1987;38.76
ARM;1988;38.67
ARM;1989;43.25
ARM;1990;36.7
ARM;1991;34.06
ARM;1992;33.37
ARM;1993;32.62
ARM;1994;26.51
ARM;1995;22.08
ARM;1996;18.78
ARM;1997;21.87
ARM;1998;21
ARM;1999;21.04
ARM;2000;21.07
ARM;2001;27.99
ARM;2002;31.44
ARM;2003;31.45
ARM;2004;31.42
ARM;2005;31.39
ARM;2006;31.27
ARM;2007;31.3
ARM;2008;31.23
ARM;2009;31.14
ARM;2010;33.48
ARM;2011;33.35
ARM;2012;36.04
ARM;2013;36.07
ARM;2014;36.26
AUT;2004;651.04
AUT;2007;672.43
AUT;2009;679.57
AUT;2011;745.29
AUT;2012;778.36
AUT;2013;779.09
AUT;2014;779.04
AZE;1980;26.36
AZE;1985;23.28
AZE;1986;22.94
AZE;1987;22.59
AZE;1988;20.68
AZE;1989;20.19
AZE;1990;20.04
AZE;1991;23.26
AZE;1992;21.77
AZE;1993;22.6
AZE;1994;23.9
AZE;1995;21.72
AZE;1996;21.59
AZE;1997;21.46
AZE;1998;20.43
AZE;1999;20.26
AZE;2000;20.09
AZE;2001;19.94
AZE;2002;19.79
AZE;2003;19.64
AZE;2004;19.47
AZE;2005;19.27
AZE;2006;18.78
AZE;2007;18.84
AZE;2008;18.3
AZE;2009;18.07
AZE;2010;17.86
AZE;2011;12.89
AZE;2012;12.72
AZE;2013;14.14
AZE;2014;15.91
BEL;1995;1050.87
BEL;1996;1104.88
BEL;1997;1114.86
BEL;1998;1152.46
BEL;1999;1192.77
BEL;2000;1205.56
BEL;2001;1224.15
BEL;2002;1218.66
BEL;2003;1221.76
BEL;2004;1222.21
BEL;2005;1217.85
BEL;2006;1215.4
BEL;2007;1221.63
BEL;2008;1228.29
BEL;2009;1230.37
BEL;2010;1230.36
BEL;2011;1230.6
BEL;2012;1232.25
BGR;2000;57.84
BGR;2001;59.65
BGR;2002;53.45
BGR;2003;54.32
BGR;2004;55.84
BGR;2005;55.97
BGR;2006;56.75
BGR;2007;55.88
BGR;2008;56.17
BGR;2009;59.56
BGR;2010;60.66
BGR;2011;61.3
BGR;2012;60.58
BGR;2013;43.01
BGR;2014;43.85
BLR;1993;173.46
BLR;1994;178.5
BLR;1995;177.91
BLR;1996;176.93
BLR;1997;168.59
BLR;1998;168.28
BLR;1999;173.26
BLR;2000;169.02
BLR;2001;169.6
BLR;2002;169.09
BLR;2003;172.37
BLR;2004;172.64
BLR;2005;170.29
BLR;2006;173.75
BLR;2007;178.58
BLR;2008;180.14
BLR;2009;181.35
BLR;2010;187.67
BLR;2011;191.53
BLR;2012;197.75
BLR;2013;198.09
BLR;2014;203.03
CARINFONET;1989;67.09
CARINFONET;1990;68.11
CARINFONET;1991;67.41
CARINFONET;1992;64.53
CARINFONET;1993;64.73
CARINFONET;1994;62.44
CARINFONET;1995;62.26
CARINFONET;1996;61.45
CARINFONET;1997;59.99
CARINFONET;1998;45.47
CARINFONET;1999;44.46
CARINFONET;2000;50.37
CARINFONET;2001;52.03
CARINFONET;2002;51.86
CARINFONET;2003;52.05
CARINFONET;2004;54.54
CARINFONET;2005;54.35
CARINFONET;2006;50.19
CARINFONET;2007;57.13
CARINFONET;2008;57.51
CARINFONET;2009;57.49
CARINFONET;2011;55.97
CARINFONET;2012;55.52
CARINFONET;2013;55.19
CARINFONET;2014;55.09
CHE;1997;1261.18
CHE;1998;1217.88
CHE;1999;1165.96
CHE;2000;1169.66
CHE;2001;1168.19
CHE;2002;1173.05
CHE;2003;1161.03
CHE;2004;1163.56
CHE;2005;1167.09
CHE;2006;1177.48
CHE;2007;1190.66
CHE;2008;1186.2
CHE;2009;1187.15
CHE;2010;1172.93
CHE;2011;1173.45
CHE;2012;1169.93
CHE;2013;1169.44
CHE;2014;1165.08
CIS;1985;42.57
CIS;1986;42.48
CIS;1987;42.22
CIS;1988;42.71
CIS;1989;43.14
CIS;1990;43.43
CIS;1991;43.84
CIS;1992;43.29
CIS;1993;43.68
CIS;1994;43.3
CIS;1995;41.93
CIS;1996;37.76
CIS;1997;40.87
CIS;1998;37.64
CIS;1999;37.52
CIS;2000;39.09
CIS;2001;40
CIS;2002;40.41
CIS;2003;39.13
CIS;2004;38.3
CIS;2005;38.32
CIS;2006;37.27
CIS;2007;38.85
CIS;2008;38.86
CIS;2009;38.79
CIS;2010;38.39
CIS;2011;38.37
CIS;2012;38.43
CIS;2013;38.48
CIS;2014;38.55
CZE;2000;633.75
CZE;2005;673.11
CZE;2006;677.02
CZE;2007;676.96
CZE;2008;659.76
CZE;2009;651.2
CZE;2010;660.33
CZE;2011;665.55
CZE;2012;672.36
CZE;2013;685.66
CZE;2014;692.31
DEU;1999;786.31
DEU;2001;818.91
DEU;2003;864.27
DEU;2005;918.2
DEU;2007;971.35
DEU;2009;1032.07
DEU;2011;1070.63
DEU;2013;1119.57
DNK;1990;995.39
DNK;1991;933.9
DNK;1992;894.26
DNK;1993;860.15
DNK;1994;902.86
DNK;1995;896.04
DNK;1996;914.07
DNK;1997;885.47
DNK;1998;913.16
DNK;1999;866.08
DNK;2000;863.09
DNK;2001;865.01
DNK;2002;857.14
DNK;2003;817.42
DNK;2004;819.77
DNK;2005;817.58
DNK;2006;828.18
DNK;2007;846.96
DNK;2008;838.64
DNK;2009;842.04
DNK;2010;845.79
DNK;2011;816.62
ESP;2002;150.48
ESP;2003;167.72
ESP;2004;324.08
ESP;2005;317.11
ESP;2006;356.2
ESP;2007;431.04
ESP;2008;437.13
ESP;2009;490.68
ESP;2010;533.78
ESP;2011;807.86
ESP;2012;800.83
ESP;2013;796.39
EST;1998;426.86
EST;1999;433.32
EST;2000;432.07
EST;2001;435.55
EST;2002;450.57
EST;2003;457.13
EST;2004;472.42
EST;2005;499.64
EST;2006;525.54
EST;2007;550.32
EST;2008;582.38
EST;2009;610.41
EST;2010;635.31
EST;2011;657.05
EST;2012;699.48
EST;2013;787.18
EST;2014;828.29
EU_AFTER_MAY2004;2000;302.03
EU_AFTER_MAY2004;2002;309.63
EU_AFTER_MAY2004;2003;314.51
EU_AFTER_MAY2004;2004;320.12
EU_AFTER_MAY2004;2005;323.52
EU_AFTER_MAY2004;2006;326.57
EU_AFTER_MAY2004;2007;332.48
EU_AFTER_MAY2004;2008;332.74
EU_AFTER_MAY2004;2009;337.14
EU_AFTER_MAY2004;2010;323.93
EU_AFTER_MAY2004;2011;329.71
EU_AFTER_MAY2004;2012;336.66
EU_AFTER_MAY2004;2013;339.83
EU_AFTER_MAY2004;2014;349.35
EU_BEFORE_MAY2004;1996;656.2
EU_BEFORE_MAY2004;1997;658.6
EU_BEFORE_MAY2004;1998;658.01
EU_BEFORE_MAY2004;1999;660.27
EU_BEFORE_MAY2004;2000;664.91
EU_BEFORE_MAY2004;2001;671.15
EU_BEFORE_MAY2004;2002;678.8
EU_BEFORE_MAY2004;2003;686.21
EU_BEFORE_MAY2004;2004;709.14
EU_BEFORE_MAY2004;2005;716.64
EU_BEFORE_MAY2004;2006;729.31
EU_BEFORE_MAY2004;2007;744.92
EU_BEFORE_MAY2004;2008;755.48
EU_BEFORE_MAY2004;2009;778.01
EU_BEFORE_MAY2004;2010;793.75
EU_BEFORE_MAY2004;2011;847.3
EU_BEFORE_MAY2004;2012;854.34
EU_BEFORE_MAY2004;2013;860.04
EU_MEMBERS;1999;577.24
EU_MEMBERS;2000;581.74
EU_MEMBERS;2001;587.85
EU_MEMBERS;2002;595.5
EU_MEMBERS;2003;602.88
EU_MEMBERS;2004;622.48
EU_MEMBERS;2005;629.46
EU_MEMBERS;2006;640.63
EU_MEMBERS;2007;654.61
EU_MEMBERS;2008;663.34
EU_MEMBERS;2009;682.26
EU_MEMBERS;2010;692.23
EU_MEMBERS;2011;735.86
EU_MEMBERS;2012;743.69
EU_MEMBERS;2013;748.15
EU_MEMBERS;2014;752.69
FIN;1996;553.71
FIN;1997;597.59
FIN;1998;612.17
FIN;1999;644.26
FIN;2000;660.04
FIN;2001;696.61
FIN;2002;736.74
FIN;2003;752.02
FIN;2004;780.29
FIN;2005;817.43
FIN;2006;919.95
FIN;2007;973.52
FIN;2008;1014.12
FIN;2009;1048.22
FIN;2010;1087.79
FIN;2011;1122.55
FIN;2012;1116.32
FIN;2013;1132.11
FIN;2014;1151.73
FRA;1993;696.91
FRA;1994;715.1
FRA;1995;732.65
FRA;1996;728.98
FRA;1997;744.06
FRA;1998;754.56
FRA;1999;759.77
FRA;2000;762.73
