country,Total Cases,New Cases,"Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious
Critical","Tot Cases/
1M pop",Deaths/1M pop,"Total
Tests","Tests/
1M pop",Population
San Marino,665,,42,,266,357,1,19603,1238,3968,116967,33924
Belgium,56810,,9237,,15155,32418,259,4904,797,768706,66357,11584427
Andorra,762,,51,,653,58,3,9864,660,3750,48542,77252
Spain,282370,,28678,,196958,56734,1152,6040,613,3037840,64976,46752950
UK,257154,,36675,,N/A,N/A,1559,3790,541,3348507,49352,67849102
Italy,229327,,32735,,138840,57752,572,3792,541,3391188,56080,60470714
France,182469,,28332,,64547,89590,1665,2796,434,1384633,21218,65258794
Sweden,33188,,3992,,4971,24225,265,3288,396,209900,20797,10092714
Sint Maarten,77,,15,,59,3,1,1798,350,437,10205,42824
Netherlands,45064,,5811,,N/A,N/A,227,2631,339,313755,18315,17131009
Ireland,24582,,1604,,21060,1918,54,4984,325,295626,59942,4931903
USA,1666828,,98683,,446914,1121231,17133,5039,298,14357969,43404,330801130
Isle of Man,336,,24,,303,9,2,3954,282,4454,52409,84986
Channel Islands,558,,45,,508,5,,3213,259,10255,59041,173694
Switzerland,30725,,1905,,28000,820,51,3553,220,367037,42442,8648002
Montserrat,11,,1,,10,0,,2204,200,36,7212,4992
Ecuador,36258,,3096,,3557,29605,208,2058,176,105462,5987,17613893
Luxembourg,3990,,109,,3758,123,8,6385,174,66653,106668,624863
Canada,83621,,6355,,43305,33961,502,2218,169,1431911,37974,37707284
Bermuda,128,,9,,81,38,2,2055,144,6133,98441,62301
Portugal,30471,,1302,,7705,21464,80,2987,128,689705,67620,10199659
Brazil,349113,1715,22165,152,142587,184361,8318,1644,104,735224,3461,212401542
Peru,115754,,3373,,47915,64466,909,3516,102,788341,23946,32922175
Monaco,98,,4,,90,4,1,2499,102,,,39213
Germany,179986,,8366,,160300,11320,919,2149,100,3595059,42923,83756505
Denmark,11289,,561,,9836,892,19,1950,97,526285,90894,5790110
Iran,133521,,7359,,104072,22090,2633,1592,88,781286,9315,83877328
Saint Martin,40,,3,,33,4,1,1036,78,553,14329,38594
Austria,16486,,639,,15037,810,28,1832,71,396363,44035,9001067
Mayotte,1521,,19,,894,608,11,5591,70,5200,19113,272066
Panama,10577,,299,,6279,3999,72,2456,69,56755,13176,4307353
Romania,17857,,1176,,11187,5494,196,928,61,361566,18782,19250177
Moldova,6994,,242,,3452,3300,286,1733,60,40565,10054,4034896
Mexico,65856,3329,7179,190,44919,13758,378,511,56,215656,1674,128788747
Finland,6568,,306,,4800,1462,21,1186,55,165600,29893,5539846
North Macedonia,1941,,113,,1411,417,21,932,54,24762,11885,2083383
Turkey,155686,,4308,,117602,33776,775,1848,51,1807673,21458,84242466
Slovenia,1468,,106,,1340,22,4,706,51,75110,36130,2078909
Hungary,3741,28,486,4,1690,1565,28,387,50,162925,16861,9662790
Estonia,1821,,64,,1526,231,2,1373,48,75249,56730,1326445
World,5407414,9464,344025,417,2248366,2815023,53567,694,44.1,,,
Norway,8346,,235,,7727,384,13,1541,43,229769,42418,5416796
Bosnia and Herzegovina,2391,,141,,1662,588,4,728,43,58694,17879,3282809
Dominican Republic,14422,,458,,7854,6110,113,1331,42,65355,6031,10836374
Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,218708
Martinique,197,,14,,91,92,,525,37,,,375294
Chile,65393,,673,,26546,38174,1062,3424,35,457332,23945,19098926
Kuwait,20464,,148,,5747,14569,192,4800,35,268154,62892,4263710
British Virgin Islands,8,,1,,6,1,,265,33,167,5528,30210
Guadeloupe,156,,13,,115,28,3,390,32,3573,8930,400117
Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97844
Israel,16712,,279,,14090,2343,47,1817,30,536306,58309,9197590
Czechia,8890,,314,,6044,2532,29,830,29,394499,36845,10706960
Iceland,1804,,10,,1791,3,,5290,29,58225,170742,341012
Aruba,101,,3,,95,3,3,946,28,2063,19331,106719
Bahamas,100,,11,,45,44,1,255,28,1955,4977,392846
Serbia,11092,,238,,5699,5155,12,1269,27,214212,24507,8740843
Poland,20931,,993,,8977,10961,160,553,26,750939,19839,37850763
Armenia,6302,,77,,2936,3289,10,2127,26,49080,16566,2962680
Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38117
Turks and Caicos,12,,1,,10,1,,310,26,126,3259,38660
UAE,28704,,244,,14495,13965,1,2906,25,1600923,162076,9877597
Croatia,2243,,99,,2023,121,6,546,24,60864,14817,4107737
Barbados,92,,7,,70,15,4,320,24,4664,16232,287339
Russia,335882,,3388,,107936,224558,2300,2302,23,8402747,57581,145928144
Lithuania,1616,,63,,1135,418,17,593,23,264882,97174,2725846
Belarus,35244,,194,,13528,21522,92,3730,21,434618,45993,9449636
Bolivia,5915,336,240,10,609,5066,3,507,21,14803,1270,11655824
Bulgaria,2427,19,130,4,840,1457,29,349,19,74096,10656,6953511
Honduras,3743,266,174,7,455,3114,13,379,18,11820,1195,9887398
Greece,2876,,171,,1374,1331,20,276,16,152998,14672,10428054
Cayman Islands,129,,1,,61,67,,1965,15,8426,128369,65639
Ukraine,20580,,605,,6929,13046,256,470,14,277712,6346,43759415
Colombia,20177,,705,,4718,14754,136,397,14,243119,4783,50825192
Algeria,8113,,592,,4426,3095,22,185,14,,,43763605
Cyprus,927,,17,,594,316,10,768,14,99733,82667,1206440
Malta,609,,6,,473,130,1,1380,14,59511,134816,441423
Montenegro,324,,9,,314,1,,516,14,10167,16188,628058
Guyana,127,,10,,58,59,4,162,13,1401,1782,786160
Latvia,1046,,22,,712,312,2,554,12,97846,51820,1888181
Saudi Arabia,70161,,379,,41236,28546,339,2019,11,684615,19698,34754742
Albania,989,,31,,783,175,5,344,11,13133,4563,2878112
Argentina,11353,,445,,3530,7378,171,251,10,125893,2788,45151982
Djibouti,2270,,10,,1064,1196,,2301,10,22097,22401,986441
Philippines,13777,,863,,3177,9737,81,126,8,287294,2626,109423817
Bahrain,8802,,13,,4465,4324,8,5195,8,276552,163208,1694480
Equatorial Guinea,960,,11,,165,784,,687,8,854,611,1397507
Mauritius,332,,10,,322,0,,261,8,101052,79471,1271554
Qatar,42213,,21,,8513,33679,177,14679,7,184794,64260,2875712
South Africa,21343,,407,,10104,10832,119,360,7,564370,9529,59228347
Egypt,16513,,735,,4628,11150,41,162,7,135000,1322,102120411
Oman,7257,,36,,1848,5373,31,1425,7,72000,14141,5091748
Cuba,1931,,81,,1671,179,4,170,7,92629,8177,11327310
Maldives,1313,,4,,128,1181,9,2434,7,11775,21826,539495
Japan,16536,,808,,13244,2484,174,131,6,268477,2122,126514849
Afghanistan,9998,,216,,1040,8742,19,257,6,29417,758,38829355
Cameroon,4400,,159,,1822,2419,28,166,6,,,26470367
Uruguay,764,,22,,616,126,5,220,6,37590,10825,3472495
Trinidad and Tobago,116,,8,,108,0,,83,6,2903,2075,1399024
Curaçao,17,,1,,14,2,,104,6,504,3073,164024
Pakistan,54601,2164,1133,32,17198,36270,111,248,5,473607,2149,220415479
Indonesia,21745,,1351,,5249,15145,,80,5,239740,877,273216033
S. Korea,11190,25,266,,10213,711,15,218,5,820289,16001,51264720
Morocco,7406,,198,,4638,2570,1,201,5,133561,3623,36863733
Azerbaijan,3982,,49,,2506,1427,42,393,5,265067,26168,10129535
Tajikistan,2738,,44,,1223,1471,,288,5,,,9513464
Gabon,1934,,12,,459,1463,10,871,5,9908,4464,2219772
El Salvador,1819,,35,2,575,1209,25,281,5,70225,10832,6482821
Slovakia,1504,,28,,1280,196,1,275,5,156765,28715,5459375
Sierra Leone,621,,39,,241,341,,78,5,,,7958865
Cabo Verde,371,,3,,142,226,,668,5,1307,2353,555344
Liberia,255,,26,,136,93,,51,5,,,5044193
Belize,18,,2,,16,0,,45,5,1435,3616,396831
Singapore,31068,,23,,13882,17163,8,5315,4,294414,50366,5845516
Malaysia,7185,,115,,5912,1158,9,222,4,500469,15484,32321398
Australia,7114,3,102,,6508,504,5,279,4,1224627,48084,25468256
Iraq,4272,,152,,2585,1535,,106,4,181882,4533,40120620
Somalia,1594,,61,,204,1329,2,101,4,,,15841801
New Zealand,1504,,21,,1456,27,1,312,4,259152,53787,4818119
Lebanon,1097,,26,,667,404,4,161,4,71814,10517,6828453
Tunisia,1048,,48,1,914,86,3,89,4,47649,4036,11805475
Chad,648,,60,,204,384,,40,4,,,16370988
India,131920,497,3869,1,54441,73610,8944,96,3,2943421,2135,1378566974
China,82974,3,4634,,78261,79,8,58,3,,,1439323776
Bangladesh,32078,,452,,6486,25140,1,195,3,234675,1426,164515439
Sudan,3628,250,146,9,424,3058,,83,3,401,9,43733183
Guatemala,3054,311,55,4,244,2755,5,171,3,25464,1424,17878891
Guinea-Bissau,1114,,6,,42,1066,,568,3,1500,764,1962720
Mali,1015,,63,,574,378,,50,3,3483,173,20182888
Niger,943,,61,,775,107,,39,3,5989,248,24100778
Georgia,728,,12,,509,207,6,182,3,45707,11456,3989931
Jamaica,550,6,9,,200,341,1,186,3,9923,3353,2959835
Congo,487,,16,,147,324,,89,3,,,5502591
Nicaragua,279,,17,,199,63,,42,3,,,6616116
French Guiana,279,,1,,143,135,,937,3,,,297793
Kazakhstan,8322,403,35,,4214,4073,31,444,2,657214,35046,18752654
Guinea,3176,,20,,1631,1525,24,243,2,13726,1048,13091643
Senegal,2976,,34,,1416,1526,6,178,2,34082,2042,16693148
Kyrgyzstan,1403,38,14,,980,409,5,215,2,98281,15091,6512401
Costa Rica,918,,10,,607,301,4,180,2,22910,4502,5089207
Haiti,865,53,26,1,22,817,,76,2,2718,239,11387625
Paraguay,850,,11,,298,541,,119,2,23805,3342,7123140
Burkina Faso,814,,52,,672,90,,39,2,,,20836960
Eswatini,238,,2,,119,117,,205,2,4994,4309,1158888
Brunei,141,,1,,136,4,2,323,2,18411,42127,437036
Suriname,11,,1,,9,1,,19,2,404,689,586078
Nigeria,7526,,221,,2174,5131,7,37,1,43328,211,205556170
Ghana,6617,,31,,1978,4608,16,213,1,193705,6248,31000302
Ivory Coast,2366,,30,,1188,1148,,90,1,22233,845,26303693
Réunion,452,,1,,411,40,2,505,1,17200,19226,894644
Togo,373,,12,,133,228,,45,1,15987,1936,8256716
Mauritania,227,,6,,7,214,,49,1,2583,557,4635598
Yemen,212,,39,,11,162,,7,1,120,4,29751976
Comoros,78,,1,,18,59,,90,1,,,867522
Kenya,1192,,50,,380,762,1,22,0.9,57650,1075,53637887
Jordan,704,,9,,470,225,5,69,0.9,161722,15867,10192398
Thailand,3040,,56,,2921,63,61,44,0.8,328073,4701,69782104
DRC,2025,,63,,312,1650,,23,0.7,,,89241709
South Sudan,655,,8,,6,641,,59,0.7,3356,300,11179687
Palestine,423,,3,,348,72,,83,0.6,44876,8820,5087975
Hong Kong,1066,,4,,1029,33,1,142,0.5,202930,27091,7490593
Uzbekistan,3132,17,13,,2532,587,4,94,0.4,460000,13766,33416589
Sri Lanka,1089,,9,,660,420,1,51,0.4,53092,2480,21404007
Venezuela,1010,,10,,262,738,2,36,0.4,771276,27116,28443938
Zambia,920,,7,,336,577,1,50,0.4,20011,1092,18324217
Tanzania,509,,21,,183,305,7,9,0.4,,,59536336
Libya,75,,3,,39,33,,11,0.4,4351,634,6861203
Botswana,30,,1,,19,10,,13,0.4,16100,6862,2346328
Gambia,25,,1,,13,11,,10,0.4,1476,613,2408787
Taiwan,441,,7,,414,20,,19,0.3,70697,2969,23812392
Zimbabwe,56,,4,,18,34,,4,0.3,35112,2366,14839448
CAR,552,,1,,18,533,,115,0.2,11570,2400,4820525
Benin,135,,3,,61,71,,11,0.2,26792,2217,12086686
Malawi,82,,3,,28,51,1,4,0.2,2411,126,19073209
Syria,70,,4,,37,29,,4,0.2,,,17452231
Nepal,584,,3,,70,511,1,20,0.1,132195,4546,29078960
Myanmar,201,,6,,120,75,,4,0.1,17875,329,54371767
